,base_asset,compare_asset,label
0,AADR,DGRE,0
292,FEP,PIE,0
293,FEP,RFDI,0
294,FEX,INDY,0
295,FID,FTGC,0
296,FID,FTXR,0
297,FID,FVC,0
298,FID,INDY,0
299,FID,IPKW,0
300,FID,KBWD,0
301,FID,NXTG,0
302,FID,PDBC,0
303,FID,PFI,0
304,FID,PIE,0
291,FEP,FTXR,0
305,FID,PRFZ,0
307,FID,VTWO,0
308,FID,VTWV,0
309,FJP,IVAL,0
310,FKU,PIE,0
329,FSZ,FTXR,0
330,FTA,FTRI,0
331,FTA,INDY,0
332,FTA,PY,0
335,FTCS,FTXH,0
338,FTRI,FTXG,0
339,FTRI,IGF,0
340,FTRI,LVHD,0
341,FTRI,PEY,0
306,FID,RFEU,0
290,FEP,FKU,0
289,FEMS,VTWV,0
288,FEMS,VTWO,0
259,FCEF,FTXR,0
260,FCEF,ISHP,0
261,FCEF,PFI,0
262,FCEF,PIO,0
263,FCVT,SDG,0
264,FDT,FEM,0
265,FDT,FEUZ,0
266,FDTS,FTXR,0
267,FEM,FEP,0
268,FEM,FEUZ,0
269,FEM,FID,0
270,FEM,FKU,0
271,FEM,FTXR,0
272,FEM,IEUS,0
273,FEM,IMOM,0
274,FEM,ISHP,0
275,FEM,KBWD,0
276,FEM,PIE,0
277,FEM,PSCF,0
278,FEM,QABA,0
279,FEM,RFDI,0
280,FEM,RFEU,0
281,FEM,SCZ,0
282,FEM,VTWV,0
283,FEM,WOOD,0
284,FEMS,FTXR,0
285,FEMS,IPKW,0
286,FEMS,PRFZ,0
287,FEMS,PSCC,0
342,FTRI,PSCC,0
197,FAB,PY,0
344,FTXG,IGF,0
346,FTXH,NXTG,0
409,INDY,VTWV,0
410,INDY,VYMI,0
411,ISHP,PIE,0
412,ISHP,PIZ,0
417,IUSV,PPH,0
418,IXUS,PFI,0
419,IXUS,VTWO,0
422,KBWD,PDBC,0
423,KBWD,QAT,0
424,KBWD,UAE,0
425,KBWY,NXTG,0
426,KBWY,NZAC,0
427,KBWY,PIO,0
408,INDY,VONV,0
428,KBWY,QQXT,0
432,MDIV,PDBC,0
433,MDIV,UAE,0
434,MDIV,VYMI,0
442,PEY,PID,0
445,PFI,PIO,0
446,PFI,VIGI,0
451,PIE,SCZ,0
452,PIO,VIGI,0
454,PPH,PSCC,0
457,PSCC,PY,0
464,PUI,QAT,0
472,SRET,VIGI,0
473,SRET,VONV,0
429,KBWY,SDG,0
407,INDY,PY,0
406,INDY,PSCC,0
405,INDY,PRFZ,0
347,FTXH,PFM,0
348,FTXH,PSCC,0
349,FTXH,QQXT,0
350,FTXH,SRET,0
359,FTXR,INDY,0
360,FTXR,IPKW,0
361,FTXR,IXUS,0
362,FTXR,RFEU,0
363,FTXR,VXUS,0
364,FTXR,WOOD,0
380,IEUS,PIE,0
381,IEUS,SCZ,0
382,IFV,IMOM,0
383,IFV,RFEM,0
